0 	 8 
1 	 23 
2 	 48 
3 	 83 
4 	 128 
5 	 183 
6 	 248 
7 	 323 
8 	 408 
9 	 503 
10 	 608 
11 	 723 
12 	 848 
13 	 983 
14 	 1128 
15 	 1283 
16 	 1448 
17 	 1623 
18 	 1808 
19 	 2003 
20 	 2208 
21 	 2423 
22 	 2648 
23 	 2883 
24 	 3128 
25 	 3383 
26 	 3648 
27 	 3923 
28 	 4208 
29 	 4503 
30 	 4808 
31 	 5123 
32 	 5448 
33 	 5783 
34 	 6128 
35 	 6483 
36 	 6848 
37 	 7223 
38 	 7608 
39 	 8003 
40 	 8408 
41 	 8823 
42 	 9248 
43 	 9683 
44 	 10128 
45 	 10583 
46 	 11048 
47 	 11523 
48 	 12008 
49 	 12503 
50 	 13008 
51 	 13523 
52 	 14048 
53 	 14583 
54 	 15128 
55 	 15683 
56 	 16248 
57 	 16823 
58 	 17408 
59 	 18003 
60 	 18608 
61 	 19223 
62 	 19848 
63 	 20483 
64 	 21128 
65 	 21783 
66 	 22448 
67 	 23123 
68 	 23808 
69 	 24503 
70 	 25208 
71 	 25923 
72 	 26648 
73 	 27383 
74 	 28128 
75 	 28883 
76 	 29648 
77 	 30423 
78 	 31208 
79 	 32003 
80 	 32808 
81 	 33623 
82 	 34448 
83 	 35283 
84 	 36128 
85 	 36983 
86 	 37848 
87 	 38723 
88 	 39608 
89 	 40503 
90 	 41408 
91 	 42323 
92 	 43248 
93 	 44183 
94 	 45128 
95 	 46083 
96 	 47048 
97 	 48023 
98 	 49008 
99 	 50003 
